url,path,impressions,clicks,ga4_users,engagement_rate
https://jobrecruitment.in/real-estate-recruitment-agency-in-ludhiana.html,/real-estate-recruitment-agency-in-ludhiana.html,14,0,0,0.0
https://jobrecruitment.in/recruitment-process-in-hrm.html,/recruitment-process-in-hrm.html,14,0,0,0.0
https://jobrecruitment.in/job-consultancy-template.php?city=Bangalore&industry=Manufacturing,/job-consultancy-template.php?city=Bangalore&industry=Manufacturing,13,0,0,0.0
https://jobrecruitment.in/recruitment-management-software,/recruitment-management-software,13,0,0,0.0
https://jobrecruitment.in/cashier-job-in-india.html,/cashier-job-in-india.html,12,0,0,0.0
https://jobrecruitment.in/job-consultancy-template.php?city=Ahmedabad&industry=Real+Estate,/job-consultancy-template.php?city=Ahmedabad&industry=Real+Estate,12,0,0,0.0
https://jobrecruitment.in/job-consultancy-template.php?city=Bangalore&industry=Logistics,/job-consultancy-template.php?city=Bangalore&industry=Logistics,12,0,0,0.0
https://jobrecruitment.in/job-consultancy-template.php?city=Kolkata&industry=FMCG,/job-consultancy-template.php?city=Kolkata&industry=FMCG,12,0,0,0.0
https://jobrecruitment.in/job-consultancy-template.php?city=Srinagar&industry=Logistics,/job-consultancy-template.php?city=Srinagar&industry=Logistics,12,0,0,0.0
https://jobrecruitment.in/manufacturing-recruitment-agency-in-ahmedabad.html,/manufacturing-recruitment-agency-in-ahmedabad.html,12,0,1,100.0
https://jobrecruitment.in/warehouse-manager-job-in-srinagar.html,/warehouse-manager-job-in-srinagar.html,12,0,0,0.0
https://jobrecruitment.in/cashier-job-in-meerut.html,/cashier-job-in-meerut.html,11,1,1,0.0
https://jobrecruitment.in/it-recruitment-agency-in-visakhapatnam.html,/it-recruitment-agency-in-visakhapatnam.html,11,0,0,0.0
https://jobrecruitment.in/job-consultancy-template.php?city=Kolkata&industry=Retail,/job-consultancy-template.php?city=Kolkata&industry=Retail,11,0,0,0.0
https://jobrecruitment.in/job.php?role=Accountant&city=Vijayawada&country=India,/job.php?role=Accountant&city=Vijayawada&country=India,11,0,0,0.0
https://jobrecruitment.in/job.php?role=Lab-Technician&city=Bhopal&country=India,/job.php?role=Lab-Technician&city=Bhopal&country=India,11,0,0,0.0
